Metric,Value
Report Type,Nomos Load Test Report
Source JSON,report-smoke-Nomos-2026-08-28T06-39-42-912Z.json
Generated At,2026-08-28T06:39:42.931Z
Test Name,nomos-report-smoke-Nomos-2026-08-28T06-39-42-912Z
Total Requests,109
Failed Request %,18.3486
Checks Passed %,95.93
Iterations,1
