Group,Check,Passes,Fails,Pass %
default,category/list_events: status is 200,1,0,100
default,category/list_events: never a 5xx (server did not crash),1,0,100
default,category/create_events: never a 5xx (server did not crash),1,0,100
default,category/events/created: category has module association,1,0,100
default,category/events/created: category module is Events,1,0,100
default,category/events/created: category module id matches selected module,1,0,100
default,category/forum: module id is available,1,0,100
default,category/list_forum: status is 200,1,0,100
default,category/list_forum: never a 5xx (server did not crash),1,0,100
default,category/create_forum: never a 5xx (server did not crash),1,0,100
default,category/forum/created: category has module association,1,0,100
default,category/forum/created: category module is Forum,1,0,100
default,category/forum/created: category module id matches selected module,1,0,100
default,category/courses: module id is available,1,0,100
default,category/list_courses: status is 200,1,0,100
default,category/list_courses: never a 5xx (server did not crash),1,0,100
default,category/create_courses: never a 5xx (server did not crash),1,0,100
default,category/courses/created: category has module association,1,0,100
default,category/courses/created: category module is Courses,1,0,100
default,category/courses/created: category module id matches selected module,1,0,100
default,category/challenges: module id is available,1,0,100
default,category/list_challenges: status is 200,1,0,100
default,category/list_challenges: never a 5xx (server did not crash),1,0,100
default,category/create_challenges: never a 5xx (server did not crash),1,0,100
default,category/challenges/created: category has module association,1,0,100
default,category/challenges/created: category module is Challenges,1,0,100
default,category/challenges/created: category module id matches selected module,1,0,100
default,category/isolation: News category id resolved,1,0,100
default,category/isolation: News (new create) category id resolved,1,0,100
default,category/isolation: Events category id resolved,1,0,100
default,category/isolation: Forum category id resolved,1,0,100
default,category/isolation: Courses category id resolved,1,0,100
default,category/isolation: Challenges category id resolved,1,0,100
default,reward/providers_list: status is 200,1,0,100
default,reward/providers_list: never a 5xx (server did not crash),1,0,100
default,reward/upload: status is 200/201,1,0,100
default,reward/upload: never a 5xx (server did not crash),1,0,100
default,reward/upload: response contains image key,1,0,100
default,reward/add: status is 201,1,0,100
default,reward/add: never a 5xx (server did not crash),1,0,100
default,reward/add: reward id returned,1,0,100
default,reward/add: provider record created,1,0,100
default,reward/add: stored title matches submitted title,1,0,100
default,reward/add: stored image matches uploaded key,1,0,100
default,reward/list: status is 200,1,0,100
default,reward/list: newly created reward is retrievable,1,0,100
default,category/challenge: valid Challenges category id is available,1,0,100
default,category/challenge_upload: status is 200/201,1,0,100
default,category/challenge_upload: never a 5xx (server did not crash),1,0,100
default,category/challenge_upload: response contains image key,1,0,100
default,category/add_challenge: status is 201,1,0,100
default,category/add_challenge: never a 5xx (server did not crash),1,0,100
default,category/add_challenge: challenge id returned,1,0,100
default,category/add_challenge: category association is correct,1,0,100
default,category/add_challenge: challenge stored the points reward,1,0,100
default,forum: valid Forum category id is available,1,0,100
default,forum/list: status is 200,1,0,100
default,forum/list: never a 5xx (server did not crash),1,0,100
default,forum: forum exists for selected Forum category,1,0,100
default,forum: forum.categoryId matches selected Forum category,1,0,100
default,forum/upload_banner: status is 200/201,1,0,100
default,forum/upload_banner: never a 5xx (server did not crash),1,0,100
default,forum/upload_banner: response contains banner key,1,0,100
default,forum/add_topic: status is 200/201,1,0,100
default,forum/add_topic: never a 5xx (server did not crash),1,0,100
default,forum/add_topic: topic id returned,1,0,100
default,forum/list_topics: status is 200,1,0,100
default,forum/list_topics: never a 5xx (server did not crash),1,0,100
default,event: valid Events category id is available,1,0,100
default,event/upload: status is 200/201,1,0,100
default,event/upload: never a 5xx (server did not crash),1,0,100
default,event/upload: response contains image key,1,0,100
default,event/add_event: status is 201,1,0,100
default,event/add_event: never a 5xx (server did not crash),1,0,100
default,event/add_event: event id returned,1,0,100
default,event/add_event: response event has non-empty image field,1,0,100
default,event/add_event: stored image key matches uploaded key,1,0,100
default,event/list: status is 200,1,0,100
default,event/list: newly created event is retrievable,1,0,100
default,event/list: listed event has a non-empty image field,1,0,100
default,event/list: listed event image matches the uploaded key (no default/broken fallback),1,0,100
default,course: valid Courses category id is available,1,0,100
default,course/upload: status is 200/201,1,0,100
default,course/upload: never a 5xx (server did not crash),1,0,100
default,course/upload: response contains image key,1,0,100
default,course/add_course: status is 201,1,0,100
default,course/add_course: never a 5xx (server did not crash),1,0,100
default,course/add_course: course id returned,1,0,100
default,course/add_course: response course has non-empty imageUrl field,1,0,100
default,course/add_course: stored imageUrl matches uploaded key,1,0,100
default,course/list: status is 200,1,0,100
default,course/list: newly created course is retrievable,1,0,100
default,course/list: listed course has a non-empty imageUrl field,1,0,100
default,course/list: listed course imageUrl matches the uploaded key (no default/broken fallback),1,0,100
default,course_content: valid course id is available,1,0,100
default,course/get_by_id: status is 200,1,0,100
default,course/get_by_id: returns the course just created,1,0,100
default,course_content/list_initial: status is 200,1,0,100
