Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
create_customer,109,805.17,176.73,1945.96,3251.03,0,170.4,4556.09,18.3486,1.027,6.62,77.9
expected_response:true,109,990.47,231.66,541.68,1175.02,0,134.53,55804.57,18.3486,1.027,6.62,77.9
file_upload,109,574.46,208.08,633.13,2197.46,0,191.09,3761.79,18.3486,1.027,6.62,77.9
login,109,314.84,199.13,522.38,592.7,0,134.53,663.01,18.3486,1.027,6.62,77.9
